ymd	num_trips
2015-01-01	4387
2015-01-02	10551
2015-01-03	5824
2015-01-04	7152
2015-01-05	13488
2015-01-06	9257
2015-01-07	9812
2015-01-08	8635
2015-01-09	7965
2015-01-10	6686
2015-01-11	7113
2015-01-12	7666
2015-01-13	13015
2015-01-14	12733
2015-01-15	14111
2015-01-16	14604
2015-01-17	7930
2015-01-18	2284
2015-01-19	9425
2015-01-20	15315
2015-01-21	15440
2015-01-22	15655
2015-01-23	16156
2015-01-24	5929
2015-01-25	9275
2015-01-26	5361
2015-01-27	1004
2015-01-28	4522
2015-01-29	8401
2015-01-30	9453
2015-01-31	5540
2015-02-01	6513
2015-02-02	1915
2015-02-03	4073
2015-02-04	8151
2015-02-05	9686
2015-02-06	8566
2015-02-07	6839
2015-02-08	6984
2015-02-09	5144
2015-02-10	9327
2015-02-11	11397
2015-02-12	11486
2015-02-13	8360
2015-02-14	5192
2015-02-15	2756
2015-02-16	3497
2015-02-17	4320
2015-02-18	8961
2015-02-19	8096
2015-02-20	6351
2015-02-21	4068
2015-02-22	3652
2015-02-23	7121
2015-02-24	6997
2015-02-25	10270
2015-02-26	10206
2015-02-27	10207
2015-02-28	6670
2015-03-01	3688
2015-03-02	5945
2015-03-03	7708
2015-03-04	6657
2015-03-05	2552
2015-03-06	4567
2015-03-07	5565
2015-03-08	7889
2015-03-09	14002
2015-03-10	13136
2015-03-11	17807
2015-03-12	18025
2015-03-13	16412
2015-03-14	4836
2015-03-15	8487
2015-03-16	15925
2015-03-17	15261
2015-03-18	13685
2015-03-19	15280
2015-03-20	9405
2015-03-21	8359
2015-03-22	10060
2015-03-23	13059
2015-03-24	15780
2015-03-25	15162
2015-03-26	14550
2015-03-27	14613
2015-03-28	1631
2015-03-29	9354
2015-03-30	17174
2015-03-31	15255
2015-04-01	18996
2015-04-02	23727
2015-04-03	15747
2015-04-04	14652
2015-04-05	13711
2015-04-06	22214
2015-04-07	17824
2015-04-08	17188
2015-04-09	16477
2015-04-10	16196
2015-04-11	18942
2015-04-12	19837
2015-04-13	23944
2015-04-14	22802
2015-04-15	27048
2015-04-16	27484
2015-04-17	24414
2015-04-18	27652
2015-04-19	22907
2015-04-20	10834
2015-04-21	24042
2015-04-22	22447
2015-04-23	22340
2015-04-24	21535
2015-04-25	20448
2015-04-26	21847
2015-04-27	24746
2015-04-28	29350
2015-04-29	31685
2015-04-30	29388
2015-05-01	28437
2015-05-02	25807
2015-05-03	27307
2015-05-04	30916
2015-05-05	33056
2015-05-06	30612
2015-05-07	34636
2015-05-08	34596
2015-05-09	24965
2015-05-10	25998
2015-05-11	31885
2015-05-12	34882
2015-05-13	34442
2015-05-14	38980
2015-05-15	36593
2015-05-16	26444
2015-05-17	28142
2015-05-18	31722
2015-05-19	33126
2015-05-20	34563
2015-05-21	31411
2015-05-22	32491
2015-05-23	24055
2015-05-24	24651
2015-05-25	27762
2015-05-26	35052
2015-05-27	35324
2015-05-28	33868
2015-05-29	38191
2015-05-30	31469
2015-05-31	22526
2015-06-01	15099
2015-06-02	12042
2015-06-03	31716
2015-06-04	32814
2015-06-05	31740
2015-06-06	26251
2015-06-07	31079
2015-06-08	33587
2015-06-09	34051
2015-06-10	39115
2015-06-11	37327
2015-06-12	36215
2015-06-13	29708
2015-06-14	30004
2015-06-15	23820
2015-06-16	31203
2015-06-17	38259
2015-06-18	35373
2015-06-19	37604
2015-06-20	24678
2015-06-21	25099
2015-06-22	36517
2015-06-23	33322
2015-06-24	39283
2015-06-25	40672
2015-06-26	38790
2015-06-27	19890
2015-06-28	17192
2015-06-29	36754
2015-06-30	38367
2015-07-01	37134
2015-07-02	37083
2015-07-03	26955
2015-07-04	21155
2015-07-05	26453
2015-07-06	34391
2015-07-07	36215
2015-07-08	35240
2015-07-09	34593
2015-07-10	36344
2015-07-11	31743
2015-07-12	31290
2015-07-13	37396
2015-07-14	35897
2015-07-15	34946
2015-07-16	41923
2015-07-17	40647
2015-07-18	29188
2015-07-19	28721
2015-07-20	34284
2015-07-21	38223
2015-07-22	41604
2015-07-23	42345
2015-07-24	41397
2015-07-25	31947
2015-07-26	31217
2015-07-27	37231
2015-07-28	40122
2015-07-29	39578
2015-07-30	31631
2015-07-31	39013
2015-08-01	35037
2015-08-02	32068
2015-08-03	37883
2015-08-04	40398
2015-08-05	41067
2015-08-06	42322
2015-08-07	41834
2015-08-08	39063
2015-08-09	32884
2015-08-10	39291
2015-08-11	25338
2015-08-12	41917
2015-08-13	42208
2015-08-14	41019
2015-08-15	38095
2015-08-16	30415
2015-08-17	36667
2015-08-18	39487
2015-08-19	40640
2015-08-20	39757
2015-08-21	38545
2015-08-22	34149
2015-08-23	33510
2015-08-24	38147
2015-08-25	40966
2015-08-26	42817
2015-08-27	43229
2015-08-28	42821
2015-08-29	34443
2015-08-30	33762
2015-08-31	38683
2015-09-01	42937
2015-09-02	43103
2015-09-03	43021
2015-09-04	41309
2015-09-05	33908
2015-09-06	33125
2015-09-07	33923
2015-09-08	41486
2015-09-09	43911
2015-09-10	26160
2015-09-11	43305
2015-09-12	36965
2015-09-13	33763
2015-09-14	43191
2015-09-15	47647
2015-09-16	50841
2015-09-17	50521
2015-09-18	51403
2015-09-19	43372
2015-09-20	41582
2015-09-21	45818
2015-09-22	48617
2015-09-23	47930
2015-09-24	51888
2015-09-25	52702
2015-09-26	43115
2015-09-27	38777
2015-09-28	46575
2015-09-29	49557
2015-09-30	38990
2015-10-01	36894
2015-10-02	11849
2015-10-03	14799
2015-10-04	29645
2015-10-05	42767
2015-10-06	48805
2015-10-07	50214
2015-10-08	50152
2015-10-09	39678
2015-10-10	38539
2015-10-11	39267
2015-10-12	44646
2015-10-13	48153
2015-10-14	49917
2015-10-15	49136
2015-10-16	47482
2015-10-17	33422
2015-10-18	24658
2015-10-19	34866
2015-10-20	44071
2015-10-21	48876
2015-10-22	49243
2015-10-23	46696
2015-10-24	31947
2015-10-25	29861
2015-10-26	40623
2015-10-27	44458
2015-10-28	23354
2015-10-29	42004
2015-10-30	46178
2015-10-31	32117
2015-11-01	29629
2015-11-02	41365
2015-11-03	48254
2015-11-04	49569
2015-11-05	43530
2015-11-06	47613
2015-11-07	37744
2015-11-08	33254
2015-11-09	39286
2015-11-10	25021
2015-11-11	34180
2015-11-12	37548
2015-11-13	41032
2015-11-14	26627
2015-11-15	25691
2015-11-16	37799
2015-11-17	39574
2015-11-18	40480
2015-11-19	28064
2015-11-20	33870
2015-11-21	29450
2015-11-22	24376
2015-11-23	28609
2015-11-24	31783
2015-11-25	32144
2015-11-26	14876
2015-11-27	21130
2015-11-28	16766
2015-11-29	18434
2015-11-30	27295
2015-12-01	21131
2015-12-02	21392
2015-12-03	33235
2015-12-04	35365
2015-12-05	27633
2015-12-06	25274
2015-12-07	31709
2015-12-08	35379
2015-12-09	34941
2015-12-10	38594
2015-12-11	39797
2015-12-12	33098
2015-12-13	32949
2015-12-14	33936
2015-12-15	34789
2015-12-16	36906
2015-12-17	22026
2015-12-18	31886
2015-12-19	19359
2015-12-20	17111
2015-12-21	27098
2015-12-22	23500
2015-12-23	18502
2015-12-24	17377
2015-12-25	12984
2015-12-26	13083
2015-12-27	13637
2015-12-28	19084
2015-12-29	11897
2015-12-30	22672
2015-12-31	21013
2016-01-01	2265
